separation,propensity,length,PredSS_r1_-1,PredSS_r1,PredSS_r1_1,PredSS_r2_-1,PredSS_r2,PredSS_freq_central_H,PredSS_freq_central_E,PredSS_freq_central_C,PredCN_freq_central_0,PredRCH_freq_central_0,PredRCH_freq_central_1,PredSA_freq_central_0,PredSA_freq_central_4,PredRCH_r1_-1,PredRCH_r1,PredRCH_r1_1,PredRCH_r2_-1,PredRCH_r2,PredRCH_r2_1,PredCN_r1_-1,PredCN_r1,PredCN_r1_1,PredCN_r2,PredSA_r1,PredSA_r2_-1,PredSA_r2,PredSA_r2_1,PredSS_freq_global_H,PredCN_freq_global_0,PredRCH_freq_global_0,PredRCH_freq_global_4,PredSA_freq_global_0,AA_freq_central_A,AA_freq_central_D,AA_freq_central_E,AA_freq_central_I,AA_freq_central_F,PSSM_r1_-4_A,PSSM_r1_-4_N,PSSM_r1_0_D,PSSM_r1_1_W,PSSM_r2_0_A,PSSM_central_-2_A,PSSM_central_-2_T,PSSM_central_0_H,PSSM_central_2_D,PSSM_central_2_V
18,0.428102310078339,147,C,E,E,E,E,0.0,0.235,0.765,0.294,0.412,0.118,0.059,0.647,3,3,3,3,3,3,3,3,4,4,3,4,3,1,0.048,0.293,0.361,0.014,0.15,0.059,0.0,0.0,0.0,0.059,-2,4,-1,-2,0,2,2,-1,0,0
25,1.01373687802747,215,H,H,H,C,C,0.208,0.0,0.792,0.208,0.417,0.083,0.125,0.333,3,3,0,1,0,1,4,3,1,1,0,4,4,4,0.172,0.088,0.242,0.186,0.349,0.083,0.042,0.167,0.042,0.0,-5,-6,-6,-5,0,-3,-5,-7,-1,-5
14,1.16304154068476,102,C,C,C,C,C,0.0,0.308,0.692,0.077,0.077,0.308,0.077,0.154,0,3,1,3,1,3,0,3,1,2,1,1,4,1,0.147,0.422,0.333,0.0,0.059,0.0,0.0,0.077,0.0,0.077,1,0,-4,-3,0,-2,-2,4,-2,0
198,0.751813636107824,367,C,C,C,C,H,0.315,0.183,0.503,0.198,0.213,0.091,0.335,0.228,3,3,3,0,2,0,3,3,3,2,1,3,2,4,0.302,0.172,0.213,0.253,0.332,0.076,0.076,0.036,0.066,0.02,3,-3,-2,-1,2,3,4,4,-5,-6
35,-0.521874289465868,181,C,C,C,E,E,0.0,0.765,0.235,0.265,0.265,0.294,0.059,0.294,3,3,1,3,3,1,3,3,0,3,3,3,3,3,0.072,0.227,0.315,0.006,0.133,0.029,0.059,0.088,0.088,0.059,-2,-1,0,-4,-1,0,0,-1,0,1
294,-0.0033845481715603,423,H,H,H,H,H,0.468,0.075,0.457,0.13,0.215,0.085,0.273,0.15,3,1,1,2,3,2,3,1,2,3,3,2,0,3,0.404,0.137,0.239,0.173,0.248,0.137,0.048,0.092,0.031,0.017,-2,-4,-2,-5,-5,-2,-5,-3,-4,1
75,0.155025238316715,620,C,C,C,E,E,0.0,0.514,0.486,0.068,0.189,0.081,0.216,0.135,4,4,4,4,4,4,4,4,4,4,0,0,3,0,0.068,0.145,0.274,0.144,0.177,0.041,0.068,0.054,0.095,0.041,1,-1,-2,-3,0,-3,-2,1,2,-2
15,-0.295112436192171,176,C,C,C,C,C,0.643,0.0,0.357,0.357,0.429,0.286,0.071,0.429,0,0,1,0,3,3,0,0,1,4,3,4,3,1,0.364,0.273,0.347,0.091,0.21,0.071,0.0,0.143,0.0,0.071,-1,-3,4,0,-2,2,1,-3,0,2
22,1.16304154068476,184,E,E,C,E,E,0.0,0.429,0.571,0.238,0.381,0.238,0.143,0.286,1,2,0,3,3,3,1,3,0,4,4,2,0,2,0.0,0.147,0.37,0.0,0.13,0.095,0.048,0.0,0.143,0.0,-2,-1,-4,-6,-4,1,-1,-1,-1,-5
7,0.755628568879203,384,C,C,C,C,C,0.0,0.0,1.0,0.167,0.167,0.333,0.0,0.0,3,3,0,3,2,0,1,3,1,2,1,1,3,3,0.615,0.281,0.253,0.169,0.214,0.0,0.167,0.0,0.0,0.167,-2,-1,-7,0,0,-2,-1,-1,-4,0
157,-0.228215338032845,301,C,C,C,H,H,0.263,0.103,0.635,0.032,0.103,0.122,0.327,0.058,3,4,4,2,3,0,4,4,4,3,3,2,0,4,0.442,0.13,0.199,0.183,0.252,0.115,0.051,0.051,0.045,0.045,0,1,5,-5,-7,2,-2,-4,-7,2
31,-0.210874394342964,322,C,H,H,H,H,0.7,0.0,0.3,0.167,0.167,0.1,0.467,0.133,4,4,3,4,4,4,4,4,4,4,0,0,1,0,0.5,0.14,0.177,0.283,0.345,0.033,0.033,0.1,0.067,0.067,-1,-3,-6,-7,-4,-3,-4,-5,3,-3
79,-0.256067555542816,159,C,C,C,C,C,0.128,0.231,0.641,0.192,0.282,0.115,0.141,0.244,3,0,3,1,0,0,2,1,4,0,4,3,4,4,0.182,0.277,0.365,0.0,0.119,0.077,0.038,0.064,0.077,0.038,-5,-7,3,-5,-2,-1,-3,1,-5,-4
29,-0.853927377525712,374,C,C,C,H,H,0.429,0.071,0.5,0.036,0.071,0.143,0.5,0.071,0,3,3,2,0,3,1,3,3,1,0,1,3,3,0.291,0.166,0.27,0.195,0.316,0.143,0.0,0.0,0.036,0.0,1,0,-7,-1,-1,-1,2,0,0,-2
6,-0.153557060760159,195,H,C,C,C,C,0.0,0.0,1.0,0.8,0.8,0.0,0.0,0.8,3,0,0,0,0,2,3,2,0,0,3,4,4,1,0.626,0.472,0.359,0.036,0.21,0.0,0.4,0.2,0.0,0.0,-1,-2,-1,-3,0,-2,-1,-1,0,-2
43,0.750050468117254,209,H,H,C,H,H,0.262,0.238,0.5,0.119,0.333,0.095,0.238,0.238,1,3,0,0,3,3,1,3,1,3,1,3,1,0,0.287,0.292,0.388,0.024,0.187,0.048,0.048,0.048,0.048,0.048,0,-3,-6,-6,-5,0,-2,-1,-6,-2
7,-0.490848489056317,431,E,E,E,C,C,0.0,0.333,0.667,0.0,0.167,0.333,0.167,0.167,1,3,3,1,3,3,3,4,3,3,0,3,2,0,0.009,0.172,0.362,0.095,0.139,0.167,0.0,0.0,0.167,0.0,1,-1,-5,-5,-4,-1,0,-3,-2,-2
24,0.0317514100795258,234,C,C,E,C,C,0.0,0.261,0.739,0.043,0.087,0.087,0.391,0.043,3,4,3,0,3,3,4,3,4,4,3,3,3,2,0.346,0.132,0.197,0.184,0.338,0.217,0.13,0.043,0.0,0.0,-1,-1,-2,3,0,2,-1,6,-7,-8
48,-0.593125221569842,187,C,H,H,C,C,0.511,0.298,0.191,0.17,0.255,0.213,0.277,0.17,3,1,1,1,0,0,3,0,1,0,3,3,4,4,0.332,0.267,0.337,0.027,0.187,0.0,0.043,0.043,0.064,0.0,2,-2,0,-1,0,-3,-2,0,-4,-4
205,0.118216343339941,382,C,C,C,C,C,0.255,0.098,0.647,0.113,0.225,0.098,0.201,0.147,4,4,4,3,3,3,4,4,4,3,0,1,3,3,0.209,0.152,0.264,0.141,0.199,0.103,0.069,0.039,0.029,0.015,-4,-8,-7,2,0,4,-1,0,-3,-1
24,0.0339726964393725,236,H,H,H,C,E,0.348,0.261,0.391,0.087,0.217,0.217,0.13,0.13,1,0,2,1,4,3,2,0,1,4,4,3,3,0,0.271,0.165,0.284,0.089,0.254,0.174,0.0,0.174,0.0,0.043,2,-4,3,0,1,1,-2,2,2,-2
23,0.891527706500162,217,H,H,H,C,C,0.364,0.0,0.636,0.318,0.409,0.182,0.045,0.455,3,3,2,3,3,0,3,3,1,3,1,3,1,3,0.41,0.442,0.382,0.069,0.124,0.0,0.136,0.0,0.045,0.0,-2,-6,-7,-3,-3,-3,-3,1,-4,-5
32,0.471452689920424,158,H,C,C,E,E,0.226,0.065,0.71,0.613,0.516,0.194,0.065,0.484,3,0,0,3,3,0,3,0,0,3,3,0,3,4,0.335,0.456,0.468,0.0,0.114,0.032,0.097,0.0,0.097,0.0,-1,4,-2,-3,-1,-1,-1,-1,-2,-1
29,0.0499590237830803,225,C,C,C,C,C,0.429,0.179,0.393,0.071,0.179,0.179,0.464,0.143,3,3,1,4,4,1,3,3,1,4,1,0,0,3,0.342,0.129,0.227,0.2,0.289,0.036,0.036,0.071,0.071,0.071,-1,1,-5,-5,-3,-2,0,-2,-1,-1
42,-0.23409472515415,167,E,E,E,E,E,0.0,0.488,0.512,0.073,0.22,0.098,0.146,0.122,4,4,4,1,3,0,4,4,4,2,0,3,3,3,0.03,0.228,0.359,0.066,0.156,0.073,0.024,0.049,0.049,0.073,-1,-1,-2,-3,-3,-2,0,-3,-4,2
201,0.243707525524993,319,H,H,H,H,H,0.39,0.14,0.47,0.08,0.16,0.1,0.415,0.12,3,3,1,3,3,3,3,3,1,3,0,2,0,1,0.417,0.075,0.163,0.279,0.392,0.09,0.065,0.08,0.085,0.035,-5,-4,-5,-6,-4,-3,-4,-7,4,-2
62,-0.540460059802277,94,C,C,C,C,E,0.115,0.426,0.459,0.262,0.311,0.18,0.213,0.311,0,1,1,3,3,3,0,3,3,4,3,1,1,0,0.16,0.298,0.351,0.053,0.17,0.049,0.016,0.049,0.066,0.033,0,0,-3,-3,-5,0,-2,-2,0,-3
159,1.11178457528051,359,E,E,E,H,H,0.31,0.076,0.614,0.139,0.203,0.095,0.316,0.146,4,4,4,3,3,3,4,4,4,4,0,0,2,2,0.326,0.103,0.187,0.234,0.315,0.171,0.076,0.051,0.063,0.057,-4,-4,-6,-5,-4,1,-1,-3,-4,-3
34,1.17960746355996,114,C,E,E,C,E,0.0,0.394,0.606,0.091,0.273,0.152,0.242,0.212,3,3,3,0,3,3,3,4,4,3,0,3,1,3,0.114,0.158,0.289,0.044,0.237,0.0,0.091,0.061,0.061,0.091,0,-1,-7,-7,1,6,-3,3,-3,-2
53,-0.0983758514235736,240,C,C,E,E,E,0.0,0.423,0.577,0.0,0.135,0.038,0.519,0.058,0,1,3,4,3,3,1,1,3,4,3,0,0,3,0.05,0.104,0.225,0.142,0.338,0.038,0.038,0.0,0.0,0.038,-1,-1,2,-3,3,0,0,2,-5,2
12,0.626348461004925,52,H,H,H,H,H,0.455,0.0,0.545,0.182,0.364,0.0,0.091,0.545,3,3,3,3,3,3,0,3,3,4,0,1,0,3,0.635,0.365,0.365,0.0,0.192,0.0,0.091,0.091,0.0,0.091,4,-1,-4,-2,-2,-1,-1,-1,-2,-2
98,-0.47594944256829,194,C,C,C,C,H,0.309,0.196,0.495,0.206,0.289,0.144,0.206,0.175,3,0,0,3,1,0,3,1,0,1,3,1,3,4,0.273,0.253,0.325,0.062,0.17,0.062,0.082,0.041,0.052,0.082,-3,1,0,-3,-2,0,0,-2,-3,1
122,-0.348437167796208,310,C,C,C,H,H,0.438,0.14,0.421,0.066,0.19,0.124,0.38,0.066,3,3,3,3,0,3,4,4,3,1,0,1,4,3,0.523,0.171,0.239,0.248,0.319,0.058,0.05,0.058,0.074,0.025,-4,-4,-5,-7,2,0,0,-2,1,-2
44,-0.162732497591036,122,C,H,H,E,E,0.349,0.209,0.442,0.14,0.233,0.186,0.209,0.116,3,3,0,3,3,3,3,3,0,4,1,0,0,0,0.131,0.295,0.32,0.008,0.172,0.07,0.116,0.14,0.0,0.047,3,-3,-5,-4,-2,2,2,-3,-2,-1
88,1.40279843531977,374,E,E,E,E,E,0.195,0.103,0.701,0.402,0.506,0.115,0.115,0.448,4,4,3,4,3,3,4,4,4,4,0,0,0,0,0.291,0.166,0.27,0.195,0.316,0.034,0.138,0.046,0.023,0.023,-1,-1,-4,-2,-1,-1,-1,-1,0,-2
10,1.41058573887302,164,H,H,H,H,H,0.667,0.0,0.333,0.222,0.333,0.222,0.222,0.222,3,3,1,3,3,0,3,3,1,2,0,0,1,3,0.671,0.323,0.354,0.018,0.201,0.111,0.222,0.0,0.0,0.111,-2,-5,-7,-5,-1,-1,-2,-3,4,-4
85,-0.467964977291887,250,C,C,C,C,C,0.0,0.298,0.702,0.19,0.321,0.107,0.131,0.31,1,0,1,0,0,0,0,0,1,0,4,4,4,4,0.072,0.284,0.38,0.032,0.12,0.071,0.06,0.071,0.048,0.036,5,-3,5,7,0,-1,-2,-2,4,-3
51,-1.44429440741442,187,H,H,H,C,C,0.06,0.34,0.6,0.28,0.4,0.08,0.1,0.36,2,0,0,0,0,0,2,0,0,1,4,3,4,3,0.096,0.209,0.348,0.043,0.144,0.06,0.04,0.18,0.0,0.1,0,0,1,-3,-1,-2,2,-2,2,-3
135,-0.672338244488822,249,C,E,E,C,C,0.179,0.313,0.507,0.224,0.321,0.097,0.231,0.246,3,2,3,3,3,3,3,1,4,4,3,3,1,3,0.161,0.213,0.309,0.068,0.225,0.052,0.052,0.082,0.067,0.075,0,-1,0,-3,-2,0,1,3,-2,-2
264,-0.158685575359271,423,H,H,C,C,C,0.441,0.084,0.475,0.122,0.202,0.091,0.27,0.137,3,3,3,0,3,0,4,4,3,3,0,4,3,3,0.404,0.137,0.239,0.173,0.248,0.144,0.042,0.087,0.034,0.019,-2,-6,-4,-5,-2,0,2,-4,1,-1
61,0.690944442931784,215,E,E,C,C,C,0.0,0.417,0.583,0.017,0.267,0.067,0.317,0.233,1,3,0,0,1,3,1,3,1,1,1,4,3,1,0.051,0.112,0.265,0.121,0.247,0.1,0.017,0.0,0.067,0.017,-2,3,-4,-1,2,0,0,1,-4,-2
677,-0.295112436192171,1244,C,C,C,C,C,0.214,0.093,0.692,0.166,0.219,0.118,0.244,0.229,0,0,3,3,3,3,3,1,3,3,3,1,3,3,0.211,0.16,0.198,0.27,0.26,0.08,0.058,0.075,0.05,0.028,-3,-5,7,-3,-2,-1,-2,-6,-2,0
102,0.56963958949565,516,C,C,C,E,E,0.168,0.337,0.495,0.317,0.426,0.178,0.129,0.406,3,3,0,0,2,1,3,3,0,2,3,3,4,3,0.221,0.178,0.295,0.149,0.24,0.059,0.03,0.079,0.059,0.03,-7,2,-1,0,2,-1,0,-2,-6,2
26,-0.524799628760106,126,E,C,C,C,H,0.0,0.24,0.76,0.0,0.24,0.16,0.16,0.28,0,3,1,0,0,0,1,3,1,1,0,4,4,4,0.19,0.278,0.413,0.0,0.119,0.16,0.04,0.04,0.0,0.08,1,3,-5,-4,-1,2,1,0,5,-2
141,1.2402254703743,191,E,E,E,H,H,0.171,0.321,0.507,0.386,0.379,0.2,0.164,0.436,3,3,3,3,3,3,4,3,4,4,3,0,0,2,0.194,0.393,0.408,0.0,0.157,0.107,0.043,0.043,0.057,0.021,-2,0,0,-4,-2,-1,-1,1,-1,1
309,-0.672338244488822,739,H,H,H,C,C,0.347,0.123,0.529,0.201,0.273,0.114,0.224,0.26,1,1,3,4,0,4,0,1,3,3,3,1,3,3,0.411,0.18,0.233,0.135,0.271,0.101,0.081,0.049,0.065,0.019,5,-2,0,-3,1,-3,-3,-2,-2,-5
52,0.0317514100795258,190,E,E,C,C,C,0.0,0.314,0.686,0.059,0.216,0.02,0.314,0.176,4,3,3,0,0,0,4,4,3,3,0,4,4,4,0.158,0.058,0.2,0.363,0.316,0.078,0.078,0.02,0.039,0.039,-3,0,-5,-7,1,-3,-5,0,-5,3
50,0.800869150326586,141,C,C,C,H,H,0.347,0.184,0.469,0.143,0.245,0.102,0.265,0.163,0,1,0,0,3,3,0,2,0,2,3,3,3,0,0.376,0.163,0.255,0.028,0.255,0.02,0.082,0.061,0.061,0.061,0,0,-3,-6,0,1,-2,1,-1,-4
523,1.01951044096319,610,C,C,C,C,C,0.291,0.192,0.517,0.165,0.249,0.172,0.218,0.207,0,3,3,1,3,3,0,3,3,3,3,3,0,3,0.334,0.164,0.246,0.139,0.221,0.056,0.054,0.069,0.05,0.042,0,0,-3,-4,-4,4,-2,3,6,-5
11,-0.579609897266314,134,E,C,C,E,C,0.0,0.6,0.4,0.2,0.2,0.1,0.2,0.2,3,0,0,3,0,1,2,1,0,0,4,3,4,4,0.067,0.351,0.396,0.0,0.164,0.1,0.0,0.1,0.0,0.1,-2,-1,1,-3,-2,0,3,-1,-1,-3
699,-0.535980866669175,954,C,C,E,C,C,0.173,0.238,0.589,0.152,0.229,0.102,0.132,0.252,3,3,0,0,0,0,4,4,1,0,0,4,4,4,0.181,0.155,0.239,0.138,0.156,0.11,0.056,0.073,0.046,0.04,3,-6,-2,-6,-1,2,0,-1,-1,-2
216,-0.381820596156714,296,C,C,C,E,E,0.093,0.498,0.409,0.144,0.247,0.033,0.237,0.228,3,1,0,3,3,3,3,2,1,4,3,1,1,0,0.068,0.149,0.243,0.203,0.223,0.07,0.056,0.051,0.056,0.042,1,1,1,-3,-1,0,2,-4,2,-2
32,-0.368081382215582,225,H,H,H,H,H,0.774,0.0,0.226,0.097,0.258,0.129,0.29,0.065,1,1,3,3,3,3,1,1,3,3,3,0,3,0,0.556,0.16,0.249,0.089,0.24,0.065,0.032,0.097,0.065,0.065,0,1,-3,-5,2,-3,-3,8,-1,-2
25,0.0235861604549471,335,C,C,C,C,C,0.292,0.333,0.375,0.167,0.25,0.167,0.125,0.208,3,3,3,0,1,3,4,4,4,1,0,4,3,1,0.331,0.17,0.257,0.087,0.194,0.042,0.167,0.083,0.0,0.0,-1,2,-6,-7,0,3,-1,-1,7,-6
100,-0.453080027406847,401,H,C,C,H,H,0.202,0.333,0.465,0.131,0.273,0.192,0.313,0.202,3,3,3,3,3,3,3,3,3,4,2,1,1,0,0.172,0.117,0.227,0.1,0.282,0.04,0.061,0.091,0.152,0.04,-2,-2,-4,-7,-5,-3,0,-4,-6,5
167,1.28178614827365,268,H,H,H,H,H,0.452,0.102,0.446,0.157,0.247,0.102,0.337,0.199,0,3,2,1,1,3,0,3,1,1,0,3,3,0,0.418,0.142,0.216,0.325,0.373,0.151,0.042,0.048,0.06,0.03,-3,-1,-6,-4,0,-1,-2,0,-1,-3
44,-0.755462394916418,211,H,H,H,H,C,0.674,0.0,0.326,0.093,0.163,0.186,0.256,0.163,1,0,1,1,3,3,1,0,1,4,4,4,1,1,0.54,0.1,0.199,0.199,0.294,0.093,0.023,0.116,0.116,0.0,3,2,3,-5,-5,-1,2,-2,3,-1
41,0.0317514100795258,131,E,E,E,E,E,0.15,0.4,0.45,0.1,0.3,0.05,0.3,0.175,3,3,1,3,3,4,3,3,1,4,0,0,0,1,0.191,0.198,0.321,0.198,0.267,0.05,0.05,0.1,0.05,0.05,-2,-1,-5,-5,3,-2,-2,-2,-4,3
63,-0.547757053028698,222,C,C,C,C,C,0.323,0.0,0.677,0.355,0.403,0.194,0.065,0.419,3,3,1,3,3,3,3,2,1,3,2,3,4,2,0.234,0.194,0.302,0.095,0.153,0.065,0.032,0.016,0.032,0.016,-6,-8,-3,3,-1,0,3,1,0,-6
8,-0.507532387566928,199,E,E,E,C,C,0.0,0.286,0.714,0.429,0.714,0.0,0.0,0.571,3,3,3,0,3,3,4,4,3,3,0,4,2,0,0.151,0.186,0.281,0.116,0.181,0.286,0.0,0.0,0.0,0.0,0,0,-2,2,0,-1,-5,-5,-4,2
179,0.116199306132021,208,E,C,C,E,E,0.028,0.455,0.517,0.298,0.388,0.146,0.146,0.36,3,0,3,1,3,3,3,2,3,4,3,3,1,3,0.024,0.274,0.375,0.034,0.149,0.028,0.056,0.073,0.022,0.022,0,-6,-3,-8,-5,-1,2,-3,-5,-1
59,-0.0055895080301872,261,C,C,C,H,H,0.069,0.345,0.586,0.086,0.259,0.172,0.19,0.155,3,0,0,2,0,0,3,1,1,0,4,1,3,4,0.027,0.146,0.295,0.034,0.146,0.052,0.052,0.052,0.034,0.017,-1,-3,1,0,-1,-1,1,-6,2,-3
137,-0.264777000864015,386,C,C,C,E,E,0.154,0.375,0.471,0.199,0.382,0.154,0.213,0.265,3,3,0,3,3,3,3,3,1,3,1,0,3,0,0.259,0.215,0.321,0.106,0.251,0.132,0.051,0.037,0.022,0.007,-6,-5,-6,-6,-2,-4,-3,-4,4,-4
33,-0.629575936342645,217,C,C,E,C,C,0.25,0.188,0.562,0.031,0.188,0.125,0.375,0.094,3,3,3,1,3,1,3,3,3,3,3,3,1,3,0.461,0.124,0.263,0.161,0.3,0.031,0.062,0.031,0.125,0.0,-2,3,7,-2,-3,-3,8,-5,-3,-2
114,-0.143784113262591,168,C,C,C,E,E,0.035,0.469,0.496,0.088,0.283,0.124,0.239,0.248,3,1,0,3,3,0,3,1,1,3,3,0,0,3,0.024,0.107,0.298,0.048,0.226,0.044,0.053,0.071,0.106,0.044,0,3,-2,-4,-2,-1,2,1,2,-3
90,-0.543503555251413,440,C,C,C,C,C,0.494,0.0,0.506,0.101,0.18,0.124,0.303,0.124,4,4,4,4,4,4,4,4,4,4,0,0,1,0,0.352,0.15,0.241,0.164,0.255,0.034,0.045,0.067,0.079,0.045,-2,-2,-4,-6,-7,-6,-2,4,5,-6
98,-0.0033845481715603,225,C,C,C,H,H,0.299,0.124,0.577,0.062,0.155,0.124,0.371,0.124,0,1,3,3,3,3,1,3,3,4,3,1,0,3,0.342,0.129,0.227,0.2,0.289,0.082,0.021,0.031,0.041,0.041,0,0,-3,-6,-6,0,-3,1,-6,6
13,0.755628568879203,126,E,E,E,E,C,0.0,0.833,0.167,0.0,0.167,0.167,0.333,0.25,1,3,1,3,3,3,2,4,3,3,1,3,1,1,0.206,0.19,0.302,0.016,0.222,0.083,0.0,0.083,0.083,0.0,-1,-2,-5,-3,-2,0,-2,-1,-1,0
18,-0.402408461248273,129,C,H,H,C,H,0.765,0.0,0.235,0.235,0.235,0.235,0.235,0.176,3,3,3,3,3,3,3,3,4,3,3,3,0,2,0.798,0.326,0.271,0.031,0.225,0.059,0.0,0.118,0.0,0.059,-1,0,1,-3,-2,-2,-2,4,0,-2
215,0.155025238316715,482,E,E,C,C,C,0.037,0.294,0.668,0.248,0.332,0.075,0.121,0.411,3,3,0,3,0,0,4,4,3,0,0,4,4,4,0.035,0.23,0.324,0.133,0.143,0.107,0.065,0.051,0.037,0.028,4,-2,-4,-3,0,5,1,-2,-2,-3
66,0.246295856109429,176,C,C,C,C,C,0.0,0.677,0.323,0.169,0.292,0.092,0.292,0.2,0,2,3,0,3,1,0,3,3,3,2,3,0,3,0.256,0.398,0.443,0.045,0.199,0.046,0.046,0.108,0.031,0.092,0,0,-3,-3,5,-1,-1,-2,0,-2
72,-0.634025512103778,131,C,H,H,E,E,0.07,0.366,0.563,0.113,0.268,0.028,0.352,0.155,4,4,3,3,3,3,4,3,3,4,3,0,0,3,0.191,0.198,0.321,0.198,0.267,0.042,0.042,0.099,0.042,0.028,-3,-5,7,-2,0,-4,-4,-4,-6,7
152,-0.481313099700134,335,E,E,C,H,H,0.318,0.199,0.483,0.192,0.265,0.139,0.185,0.219,3,2,0,3,3,1,4,2,1,3,2,0,1,3,0.331,0.17,0.257,0.087,0.194,0.093,0.126,0.04,0.026,0.046,0,-2,-2,-5,-3,-2,-3,-5,-4,1
118,-0.0216808925773829,171,C,E,E,C,C,0.128,0.479,0.393,0.111,0.205,0.111,0.299,0.154,1,3,3,0,0,1,3,3,4,1,1,3,4,3,0.123,0.164,0.263,0.094,0.246,0.043,0.068,0.051,0.043,0.06,0,-2,-6,-5,-2,-1,-2,-5,-3,-1
23,-0.264740238639843,466,C,C,C,C,C,0.409,0.0,0.591,0.045,0.091,0.045,0.409,0.045,4,4,4,4,4,3,4,4,4,4,0,3,3,1,0.251,0.195,0.191,0.223,0.33,0.182,0.091,0.045,0.091,0.0,6,-3,-2,-4,-2,-1,-2,-4,7,-4
22,0.0801442773867111,495,H,C,C,C,C,0.0,0.286,0.714,0.238,0.238,0.095,0.095,0.333,3,1,0,3,3,0,3,1,0,4,4,3,3,3,0.168,0.186,0.285,0.115,0.182,0.0,0.048,0.095,0.095,0.095,-1,-3,0,-4,0,-1,3,-4,-2,0
8,0.5402079338809,146,C,C,C,H,H,0.857,0.0,0.143,0.571,0.429,0.143,0.0,0.286,0,1,3,3,3,1,1,3,0,3,1,2,0,2,0.753,0.212,0.308,0.0,0.219,0.429,0.143,0.143,0.0,0.0,0,0,-7,-7,-3,-3,6,0,-4,0
20,-1.43402637285776,84,C,C,E,E,E,0.0,0.421,0.579,0.0,0.316,0.105,0.158,0.158,0,1,1,3,3,3,0,1,2,3,4,0,3,1,0.0,0.262,0.393,0.0,0.119,0.105,0.053,0.053,0.158,0.0,-3,3,-1,-2,0,3,0,-1,-1,-3
76,-0.465064929362257,179,C,C,C,H,H,0.053,0.24,0.707,0.04,0.187,0.04,0.293,0.12,3,0,3,3,0,3,3,0,3,0,4,1,3,1,0.291,0.128,0.207,0.318,0.291,0.067,0.04,0.0,0.067,0.0,3,-4,2,-3,2,3,0,0,-1,-1
57,1.16304154068476,324,H,H,H,H,H,0.875,0.0,0.125,0.107,0.143,0.107,0.375,0.107,1,3,3,4,4,3,1,3,3,4,0,0,0,0,0.725,0.176,0.235,0.216,0.34,0.125,0.054,0.054,0.0,0.054,1,0,-5,-2,1,0,1,-3,0,-3
89,-1.21703870652092,242,C,C,C,C,C,0.227,0.068,0.705,0.261,0.398,0.114,0.114,0.432,1,3,3,0,0,0,1,2,0,1,3,4,4,3,0.248,0.231,0.322,0.045,0.12,0.125,0.057,0.045,0.0,0.068,-2,-5,-3,-4,0,2,-1,-1,1,-1
68,-0.806811662032717,555,E,E,E,C,E,0.0,0.463,0.537,0.179,0.358,0.134,0.269,0.328,3,0,3,0,3,0,2,1,3,3,3,4,0,3,0.061,0.306,0.355,0.049,0.213,0.045,0.045,0.03,0.06,0.06,-2,-4,3,-3,3,-1,-1,-3,-2,2
268,-0.601614815050865,509,C,C,C,C,C,0.281,0.135,0.584,0.311,0.322,0.101,0.142,0.341,3,3,3,0,0,3,4,3,3,0,3,4,4,2,0.161,0.299,0.344,0.134,0.13,0.079,0.082,0.067,0.064,0.03,-1,0,-1,1,0,1,0,1,0,-1
86,0.33222651280555,495,E,E,C,E,C,0.106,0.341,0.553,0.071,0.176,0.094,0.224,0.129,3,3,3,3,0,0,3,4,3,3,0,0,3,4,0.168,0.186,0.285,0.115,0.182,0.024,0.071,0.012,0.071,0.071,-2,6,-3,-5,-1,0,0,-5,1,-5
8,0.569305889031935,193,E,E,E,H,H,0.143,0.286,0.571,0.0,0.0,0.0,0.571,0.0,3,4,4,4,4,4,4,4,4,4,0,0,1,1,0.513,0.13,0.192,0.238,0.332,0.143,0.0,0.0,0.0,0.0,-1,4,-4,-4,4,-3,-3,-6,2,-3
58,-0.446870491593751,89,H,H,H,H,H,0.561,0.0,0.439,0.386,0.474,0.158,0.088,0.456,3,1,3,3,3,3,2,1,3,4,3,3,0,0,0.674,0.292,0.371,0.0,0.202,0.035,0.088,0.14,0.053,0.018,1,1,-2,-2,-1,-4,-4,-1,2,-2
31,0.166803478113183,108,H,H,H,C,C,0.167,0.433,0.4,0.233,0.333,0.133,0.333,0.267,3,2,1,1,0,3,3,2,1,0,3,3,3,0,0.352,0.222,0.269,0.037,0.25,0.167,0.033,0.0,0.033,0.0,1,-2,0,-3,2,-1,1,1,-4,1
50,-0.278919205603454,133,C,C,C,C,C,0.0,0.49,0.51,0.184,0.367,0.184,0.184,0.327,0,0,0,0,1,1,0,0,1,1,4,4,4,4,0.083,0.218,0.293,0.06,0.256,0.082,0.082,0.061,0.061,0.02,-1,-1,1,-4,0,0,-1,-2,0,-1
26,0.49415910083227,71,E,E,C,C,E,0.4,0.12,0.48,0.2,0.36,0.24,0.28,0.36,3,3,3,1,3,1,4,3,3,3,3,4,0,3,0.296,0.183,0.254,0.07,0.296,0.08,0.04,0.04,0.0,0.08,-3,-3,-1,-4,-2,-3,-3,-3,-4,0
215,-0.365445070436067,495,C,C,C,C,C,0.252,0.145,0.603,0.192,0.271,0.136,0.196,0.215,3,0,0,3,3,3,3,0,0,3,3,1,4,3,0.168,0.186,0.285,0.115,0.182,0.061,0.07,0.042,0.056,0.037,0,0,4,-5,0,0,-1,-1,-1,0
